,Course,College,Graduated,SCHOOL,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr
32,BS CRIMINOLOGY,CCJE,0,AYALA NATIONAL HIGH SCHOOL,70.75,92.88,85.06,75.28,72.9,82.81
33,BS CRIMINOLOGY,CCJE,0,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,68.5,87.4,59.25,53.82,72.9,73.34
34,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,61.05,48.4,80.93,53.82,43.49,63.6
35,BS CRIMINOLOGY,CCJE,0,ATENEO DE ZAMBOANGA UNIVERSITY,90.77,92.88,80.93,89.31,87.72,92.9
36,BS CRIMINOLOGY,CCJE,0,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,72.78,82.26,76.79,34.54,91.68,78.81
37,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,82.02,87.4,36.55,14.31,20.6,65.83
38,BS CRIMINOLOGY,CCJE,0,IMELDA-ESU,74.8,66.85,76.79,63.45,72.9,76.07
39,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,86.35,71.99,94.84,98.29,53.29,92.51
40,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,78.85,71.99,80.93,84.63,83.75,84.19
41,BS CRIMINOLOGY,CCJE,0,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,96.08,96.76,80.93,97.62,79.78,96.54
42,BS CRIMINOLOGY,CCJE,0,PILAR COLLEGE,87.6,90.94,85.06,92.22,91.68,92.51
43,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,68.5,98.7,36.55,44.18,79.78,75.16
44,BS CRIMINOLOGY,CCJE,0,AYALA NATIONAL HIGH SCHOOL,55.84,82.26,66.81,44.18,33.69,62.48
45,BS CRIMINOLOGY,CCJE,0,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,87.6,25.06,24.36,70.61,83.75,72.43
46,BS CRIMINOLOGY,CCJE,0,WESTERN MINDANAO STATE UNIVERSITY,68.5,66.85,76.79,14.31,63.1,65.83
47,BS CRIMINOLOGY,CCJE,0,CLARET HIGH SCHOOL ZAMBOANGA,89.71,82.26,59.25,84.63,79.78,87.64
48,BS CRIMINOLOGY,CCJE,0,WESTERN MINDANAO STATE UNIVERSITY,76.83,54.75,44.12,95.71,72.9,78.81
49,BS CRIMINOLOGY,CCJE,0,SOUTHERN CITY COLLEGES,87.6,71.99,72.66,14.31,91.68,81.43
50,BS BIOLOGY,CSM,1,CLARET COLLEGE OF ISABELA,93.41,48.4,72.66,18.16,91.68,83.5
51,BS BIOLOGY,CSM,1,WESTERN MINDANAO STATE UNIVERSITY,88.66,94.82,93.41,53.82,79.78,90.6
52,BS BIOLOGY,CSM,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,74.8,61.11,36.55,70.61,79.78,71.42
53,BS BIOLOGY,CSM,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,61.05,82.26,76.79,53.82,63.1,71.42
54,BS BIOLOGY,CSM,1,WESTERN MINDANAO STATE UNIVERSITY,90.77,92.88,91.97,79.96,53.29,91.08
55,BS BIOLOGY,CSM,1,COMPUTER TECHNOLOGY INSTITUTE,89.71,71.99,44.12,79.96,72.9,83.5
56,BS BIOLOGY,CSM,1,REGIONAL SCIENCE HIGH SCHOOL,99.89,96.76,99.43,99.47,95.65,99.87
57,BS BIOLOGY,CSM,1,NOTRE DAME OF JOLO COLLEGE,87.6,66.85,51.68,89.31,83.75,84.88
58,BS BIOLOGY,CSM,1,NONE,47.0,94.82,89.19,63.45,83.75,76.98
59,BS BIOLOGY,CSM,1,FILIPINO-TURKISH TOLERANCE HIGH SCHOOL,83.47,61.11,80.93,95.71,79.78,87.64
60,BS BIOLOGY,CSM,1,SOUTHERN CITY COLLEGES,58.56,61.11,91.97,79.96,63.1,74.25
61,BS BIOLOGY,CSM,1,AYALA NATIONAL HIGH SCHOOL,76.83,92.88,29.96,75.28,43.49,75.16
62,BS BIOLOGY,CSM,1,WESTERN MINDANAO STATE UNIVERSITY,95.51,90.94,96.28,98.29,87.72,97.64
63,BS BIOLOGY,CSM,1,BASILAN NATIONAL HIGH SCHOOL,88.66,96.76,59.25,18.16,79.78,84.19
64,BS BIOLOGY,CSM,1,SIRAWAI NATIONAL HIGH SCHOOL,92.71,96.76,89.19,75.28,91.68,94.16
65,BS BIOLOGY,CSM,1,WESTERN MINDANAO STATE UNIVERSITY,72.78,66.85,59.25,53.82,53.29,69.19
66,BS BIOLOGY,CSM,1,SAINT JOSEPH SCHOOL,88.66,71.99,91.97,97.62,63.1,92.03
67,BS BIOLOGY,CSM,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,70.75,77.12,97.72,79.96,72.9,84.88
68,BS BIOLOGY,CSM,1,ZAMBOANGA CHONG HUA HIGH SCHOOL,66.01,71.99,76.79,84.63,72.9,76.98
69,BS BIOLOGY,CSM,1,CLARET HIGH SCHOOL ZAMBOANGA,68.5,66.85,80.93,89.31,97.87,83.5
70,BS BIOLOGY,CSM,1,PHILIPPINE  INTERNATIONAL SCHOOL-DOHA QATAR,72.78,66.85,80.93,70.61,53.29,75.16
71,BS BIOLOGY,CSM,1,WESTERN MINDANAO STATE UNIVERSITY,68.5,77.12,66.81,75.28,53.29,73.34
72,BS BIOLOGY,CSM,1,UNIVERSIDAD DE ZAMBOANGA,82.02,87.4,80.93,79.96,83.75,86.95
73,BS BIOLOGY,CSM,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,70.75,71.99,72.66,24.91,72.9,70.3
74,BS BIOLOGY,CSM,1,CULIANAN NATIONAL HIGH SCHOOL,86.35,71.99,59.25,63.45,63.1,79.72
75,BACHELOR OF SECONDARY EDUCATION,CTE,1,COLEGIO DE LA CIUDAD DE ZAMBOANGA,83.47,82.26,76.79,70.61,91.68,86.26
76,BACHELOR OF SECONDARY EDUCATION,CTE,1,COLEGIO DE LA CIUDAD DE ZAMBOANGA,93.41,92.88,80.93,44.18,72.9,89.65
77,BACHELOR OF SECONDARY EDUCATION,CTE,1,SANGALI NATIONAL HIGH SCHOOL,89.71,96.76,72.66,89.31,91.68,92.9
78,BACHELOR OF SECONDARY EDUCATION,CTE,1,BALIWASAN SENIOR HIGH SCHOOL - WEST,86.35,82.26,36.55,18.16,53.29,73.34
79,BACHELOR OF SECONDARY EDUCATION,CTE,1,MALUBAL NATIONAL HIGH SCHOOL,87.6,87.4,76.79,34.54,95.65,86.95
80,BACHELOR OF SECONDARY EDUCATION,CTE,1,CABALUAY NATIONAL HIGH SCHOOL,90.77,90.94,66.81,75.28,63.1,87.64
81,BACHELOR OF SECONDARY EDUCATION,CTE,1,PILAR COLLEGE,90.77,82.26,51.68,18.16,72.9,80.63
82,BACHELOR OF SECONDARY EDUCATION,CTE,1,CURUAN NATIONAL HIGH SCHOOL,90.77,94.82,80.93,79.96,91.68,92.9
83,BACHELOR OF SECONDARY EDUCATION,CTE,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,94.11,98.7,76.79,70.61,83.75,93.22
84,BACHELOR OF SECONDARY EDUCATION,CTE,1,XAVIER HIGH SCHOOL,92.71,71.99,66.81,79.96,53.29,86.26
85,BACHELOR OF SECONDARY EDUCATION,CTE,1,OLUTANGA NATIONAL HIGH SCHOOL,98.41,90.94,97.72,99.75,97.87,99.49
86,BACHELOR OF SECONDARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,96.95,54.75,85.06,53.82,87.72,91.08
87,BACHELOR OF SECONDARY EDUCATION,CTE,1,SOUTHERN CITY COLLEGES,74.8,66.85,59.25,24.91,53.29,66.95
88,BACHELOR OF SECONDARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,95.51,87.4,97.72,89.31,72.9,95.42
89,BACHELOR OF SECONDARY EDUCATION,CTE,1,SOUTHERN CITY COLLEGES,91.83,90.94,44.12,84.63,63.1,87.64
90,BACHELOR OF SECONDARY EDUCATION,CTE,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,76.83,82.26,89.19,89.31,87.72,87.64
91,BACHELOR OF SECONDARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,82.02,90.94,94.84,93.38,95.65,93.22
92,BACHELOR OF SECONDARY EDUCATION,CTE,1,TALON-TALON NATIONAL HIGH SCHOOL,88.66,77.12,93.41,92.22,83.75,92.03
93,BACHELOR OF SECONDARY EDUCATION,CTE,1,ARENA BLANCO NATIONAL HIGH SCHOOL,76.83,87.4,91.97,75.28,79.78,85.57
94,BACHELOR OF SECONDARY EDUCATION,CTE,1,SYSTEM TECHNOLOGY INSTITUTE,83.47,77.12,66.81,79.96,63.1,82.12
95,BACHELOR OF SECONDARY EDUCATION,CTE,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,93.41,77.12,97.72,63.45,72.9,92.03
96,BACHELOR OF SECONDARY EDUCATION,CTE,1,LAPUYAN NATIONAL HIGH SCHOOL,95.51,77.12,76.79,79.96,83.75,92.03
97,BACHELOR OF SECONDARY EDUCATION,CTE,1,SYSTEM TECHNOLOGY INSTITUTE,90.77,77.12,72.66,44.18,72.9,84.19
98,BACHELOR OF SECONDARY EDUCATION,CTE,1,ICAS DE CALARIAN,70.75,87.4,66.81,18.16,91.68,75.16
99,BACHELOR OF SECONDARY EDUCATION,CTE,1,CAPISAN NATIONAL HIGH SCHOOL,76.83,92.88,91.97,89.31,53.29,86.95
100,BS SOCIAL WORK,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,66.01,66.85,89.19,84.63,63.1,77.9
101,BS SOCIAL WORK,CSWCD,1,CLARET SCHOOL OF MALUSO,86.35,90.94,89.19,95.71,95.65,93.85
102,BS SOCIAL WORK,CSWCD,1,SINUNUC NATIONAL HIGH SCHOOL,68.5,35.7,59.25,63.45,43.49,61.37
103,BS SOCIAL WORK,CSWCD,1,ATENEO DE ZAMBOANGA UNIVERSITY,89.71,66.85,76.79,63.45,79.78,84.88
104,BS SOCIAL WORK,CSWCD,1,MABUHAY-ESU,63.53,71.99,76.79,24.91,72.9,68.07
105,BS SOCIAL WORK,CSWCD,1,JOSE RIZAL MEMORIAL STATE UNIVERSITY,88.66,61.11,44.12,70.61,43.49,76.98
106,BS SOCIAL WORK,CSWCD,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,74.8,71.99,80.93,94.54,79.78,84.88
107,BS SOCIAL WORK,CSWCD,1,UNIVERSIDAD DE ZAMBOANGA,34.94,71.99,80.93,79.96,63.1,64.72
108,BS SOCIAL WORK,CSWCD,1,SYSTEM TECHNOLOGY INSTITUTE,93.41,87.4,72.66,24.91,53.29,84.88
109,BS SOCIAL WORK,CSWCD,1,DON RAMON ENRIQUEZ MEMORIAL HIGH SCHOOL,68.5,66.85,59.25,24.91,43.49,62.48
110,BS SOCIAL WORK,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,78.85,48.4,51.68,79.96,91.68,77.9
111,BS SOCIAL WORK,CSWCD,1,SYSTEM TECHNOLOGY INSTITUTE,63.53,42.05,85.06,79.96,79.78,73.34
112,BS SOCIAL WORK,CSWCD,1,BASILAN NATIONAL HIGH SCHOOL,74.8,94.82,85.06,63.45,79.78,84.19
113,BS SOCIAL WORK,CSWCD,1,SOUTHERN CITY COLLEGES,74.8,54.75,76.79,53.82,43.49,70.3
114,BS SOCIAL WORK,CSWCD,1,DON RAMON ENRIQUEZ MEMORIAL HIGH SCHOOL,63.53,42.05,80.93,44.18,72.9,65.83
115,BS SOCIAL WORK,CSWCD,1,SYSTEM TECHNOLOGY INSTITUTE,76.83,77.12,72.66,24.91,43.49,71.42
116,BS SOCIAL WORK,CSWCD,1,BASILAN NATIONAL HIGH SCHOOL,70.75,77.12,89.19,53.82,72.9,77.9
117,BS SOCIAL WORK,CSWCD,1,DIPLAHAN NATIONAL HIGH SCHOOL,76.83,77.12,89.19,79.96,79.78,84.19
118,BS SOCIAL WORK,CSWCD,1,BASILAN NATIONAL HIGH SCHOOL,74.8,66.85,29.96,14.31,63.1,61.37
119,BS SOCIAL WORK,CSWCD,1,CLARET SCHOOL OF LAMITAN,80.58,54.75,66.81,34.54,33.69,68.07
120,BS SOCIAL WORK,CSWCD,1,BASILAN NATIONAL HIGH SCHOOL,74.8,61.11,93.41,24.91,63.1,75.16
121,BS SOCIAL WORK,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,84.91,90.94,91.97,89.31,53.29,89.17
122,BS SOCIAL WORK,CSWCD,1,FILIPINO-TURKISH TOLERANCE HIGH SCHOOL,80.58,77.12,51.68,70.61,43.49,75.16
123,BS SOCIAL WORK,CSWCD,1,ZAMBOANGA CITY ALLIANCE EVANGELICAL SCHOOL,76.83,82.26,89.19,75.28,53.29,82.12
124,BS SOCIAL WORK,CSWCD,1,UNIVERSIDAD DE ZAMBOANGA,89.71,77.12,91.97,53.82,72.9,87.64
125,BS INFORMATION TECHNOLOGY,CCS,1,AYALA NATIONAL HIGH SCHOOL,52.9,92.88,93.41,10.45,79.78,72.43
126,BS INFORMATION TECHNOLOGY,CCS,1,BALIWASAN SENIOR HIGH SCHOOL WEST,82.02,71.99,66.81,75.28,83.75,82.12
127,BS INFORMATION TECHNOLOGY,CCS,1,AYALA NATIONAL HIGH SCHOOL,68.5,66.85,51.68,44.18,53.29,64.72
128,BS INFORMATION TECHNOLOGY,CCS,1,VITALI NATIONAL HIGH SCHOOL,82.02,82.26,80.93,70.61,26.06,79.72
129,BS INFORMATION TECHNOLOGY,CCS,1,ZAMBOANGA HERMOSA YOUTH ACADEMY,63.53,30.03,66.81,75.28,53.29,62.48
130,BS INFORMATION TECHNOLOGY,CCS,1,BALIWASAN SENIOR HIGH SCHOOL WEST,72.78,48.4,76.79,75.28,72.9,74.25
131,BS INFORMATION TECHNOLOGY,CCS,1,JOSE RIZAL MEMORIAL STATE UNIVERSITY,72.78,66.85,66.81,70.61,83.75,76.07
132,BS INFORMATION TECHNOLOGY,CCS,1,CULIANAN NATIONAL HIGH SCHOOL,58.56,48.4,66.81,63.45,63.1,62.48
133,BS INFORMATION TECHNOLOGY,CCS,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,63.53,61.11,66.81,63.45,63.1,66.95
134,BS INFORMATION TECHNOLOGY,CCS,1,BALIGUIAN NATIONAL HIGH SCHOOL,68.5,66.85,66.81,93.38,72.9,77.9
135,BS INFORMATION TECHNOLOGY,CCS,1,WESTERN MINDANAO STATE UNIVERSITY,89.71,94.82,76.79,95.71,87.72,93.85
136,BS INFORMATION TECHNOLOGY,CCS,1,MABUHAY-ESU,47.0,48.4,72.66,94.54,72.9,69.19
137,BS INFORMATION TECHNOLOGY,CCS,1,UNIVERSIDAD DE ZAMBOANGA,66.01,54.75,85.06,18.16,72.9,66.95
138,BS INFORMATION TECHNOLOGY,CCS,1,PILAR COLLEGE,83.47,94.82,89.19,70.61,95.65,90.6
139,BS INFORMATION TECHNOLOGY,CCS,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,89.71,66.85,18.75,89.31,83.75,82.81
140,BS INFORMATION TECHNOLOGY,CCS,1,WESTERN MINDANAO STATE UNIVERSITY,96.08,54.75,93.41,44.18,79.78,90.13
141,BS INFORMATION TECHNOLOGY,CCS,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,76.83,87.4,89.19,44.18,72.9,81.43
142,BS INFORMATION TECHNOLOGY,CCS,1,ICAS DE CALARIAN,88.66,77.12,76.79,75.28,79.78,86.95
143,BS INFORMATION TECHNOLOGY,CCS,1,NONE,66.01,90.94,89.19,98.63,79.78,89.65
144,BS INFORMATION TECHNOLOGY,CCS,1,PILAR COLLEGE,66.01,54.75,51.68,44.18,91.68,68.07
145,BS INFORMATION TECHNOLOGY,CCS,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,72.78,66.85,29.96,34.54,33.69,60.09
146,BS INFORMATION TECHNOLOGY,CCS,1,RECODO NATIONAL HIGH SCHOOL,83.47,90.94,51.68,70.61,79.78,82.81
147,BS INFORMATION TECHNOLOGY,CCS,1,MERCEDES NATIONAL HIGH SCHOOL,89.71,77.12,66.81,44.18,53.29,81.43
148,BS INFORMATION TECHNOLOGY,CCS,1,AYALA NATIONAL HIGH SCHOOL,63.53,48.4,89.19,63.45,63.1,70.3
149,BS INFORMATION TECHNOLOGY,CCS,1,PILAR COLLEGE,91.83,66.85,93.41,63.45,95.65,91.08
150,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,PAX HIGH SCHOOL,61.05,66.85,72.66,89.31,43.49,71.42
151,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,SYSTEM TECHNOLOGY INSTITUTE,83.47,87.4,44.12,44.18,72.9,77.9
152,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,SYSTEM TECHNOLOGY INSTITUTE,87.6,61.11,85.06,63.45,83.75,84.88
153,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,91.83,61.11,80.93,6.59,53.29,77.9
154,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,MALUSO NATIONAL HIGH SCHOOL,83.47,90.94,85.06,53.82,20.6,80.63
155,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,MALAMAWI NATIONAL HIGH SCHOOL,78.85,66.85,44.12,34.54,43.49,66.95
156,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,86.35,82.26,72.66,34.54,72.9,81.43
157,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,87.6,90.94,85.06,44.18,33.69,83.5
158,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,90.77,94.82,96.28,75.28,72.9,93.22
159,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,SOUTHERN CITY COLLEGES,66.01,77.12,36.55,63.45,26.06,62.48
160,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,94.11,87.4,59.25,44.18,87.72,88.7
161,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,SYSTEM TECHNOLOGY INSTITUTE,83.47,54.75,76.79,53.82,95.65,82.12
162,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,MANICAHAN NATIONAL HIGH SCHOOL,66.01,54.75,80.93,63.45,53.29,69.19
163,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,ZAMBOANGA CITY STATE POLYTECHNIC COLLEGE,68.5,77.12,36.55,79.96,63.1,71.42
164,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,BALIWASAN SENIOR HIGH SCHOOL WEST,84.91,71.99,80.93,53.82,83.75,83.5
165,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,BALIGUIAN NATIONAL HIGH SCHOOL,78.85,42.05,89.19,44.18,63.1,74.25
166,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,BALIWASAN SENIOR HIGH SCHOOL WEST,78.85,66.85,72.66,63.45,53.29,75.16
167,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,92.71,77.12,72.66,75.28,91.68,90.13
168,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,89.71,61.11,89.19,63.45,72.9,85.57
169,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,AYALA NATIONAL HIGH SCHOOL,78.85,82.26,76.79,44.18,91.68,82.12
170,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,CLARET HIGH SCHOOL,80.58,35.7,36.55,70.61,53.29,66.95
171,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,SINUNUC NATIONAL HIGH SCHOOL,92.71,90.94,89.19,84.63,83.75,93.22
172,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,WESTERN MINDANAO STATE UNIVERSITY,78.85,66.85,66.81,75.28,79.78,78.81
173,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,MANICAHAN NATIONAL HIGH SCHOOL,66.01,94.82,80.93,70.61,79.78,81.43
174,BACHELOR OF ELEMENTARY EDUCATION,CTE,1,BOLONG NATIONAL HIGH SCHOOL,61.05,71.99,89.19,89.31,63.1,77.9
175,BS COMMUNITY DEVELOPMENT,CSWCD,1,SYSTEM TECHNOLOGY INSTITUTE,74.8,77.12,72.66,53.82,20.6,70.3
176,BS COMMUNITY DEVELOPMENT,CSWCD,1,NONE,87.6,71.99,72.66,34.54,79.78,81.43
177,BS COMMUNITY DEVELOPMENT,CSWCD,1,BALIWASAN SENIOR HIGH SCHOOL WEST,70.75,48.4,36.55,44.18,53.29,60.09
178,BS COMMUNITY DEVELOPMENT,CSWCD,1,MARIA CLARA LOBREGAT NATIONAL HIGH SCHOOL,70.75,25.06,44.12,79.96,72.9,64.72
179,BS COMMUNITY DEVELOPMENT,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,76.83,35.7,44.12,24.91,63.1,61.37
180,BS COMMUNITY DEVELOPMENT,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,76.83,66.85,85.06,92.22,33.69,80.63
181,BS COMMUNITY DEVELOPMENT,CSWCD,1,MSU - TAWI-TAWI COLLEGE OF TECHNOLOGY & OCEANOGRAPHY,55.84,48.4,93.41,63.45,26.06,64.72
182,BS COMMUNITY DEVELOPMENT,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,83.47,71.99,44.12,24.91,79.78,74.25
183,BS COMMUNITY DEVELOPMENT,CSWCD,1,"UNIVERSAL COLLEGE OF SOUTHEAST ASIA AND THE FACIFIC, INC.",84.91,66.85,91.97,75.28,43.49,83.5
184,BS COMMUNITY DEVELOPMENT,CSWCD,1,CULIANAN NATIONAL HIGH SCHOOL,66.01,77.12,66.81,63.45,53.29,70.3
185,BS COMMUNITY DEVELOPMENT,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,63.53,61.11,51.68,63.45,83.75,68.07
186,BS COMMUNITY DEVELOPMENT,CSWCD,1,UNIVERSIDAD DE ZAMBOANGA,55.84,66.85,51.68,75.28,53.29,63.6
187,BS COMMUNITY DEVELOPMENT,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,82.02,90.94,72.66,79.96,83.75,86.26
188,BS COMMUNITY DEVELOPMENT,CSWCD,1,BUNGUIAO NATIONAL HIGH SCHOOL,78.85,61.11,96.28,84.63,72.9,85.57
189,BS COMMUNITY DEVELOPMENT,CSWCD,1,RECODO NATIONAL HIGH SCHOOL,83.47,90.94,59.25,70.61,79.78,83.5
190,BS COMMUNITY DEVELOPMENT,CSWCD,1,WESTERN MINDANAO STATE UNIVERSITY,72.78,71.99,36.55,63.45,53.29,68.07
191,BS COMMUNITY DEVELOPMENT,CSWCD,1,IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,70.75,71.99,72.66,44.18,53.29,70.3
192,BS COMMUNITY DEVELOPMENT,CSWCD,1,DON PABLO LORENZO MEMORIAL HIGH SCHOOL,70.75,87.4,24.36,53.82,53.29,66.95
193,BS COMMUNITY DEVELOPMENT,CSWCD,1,MANICAHAN NATIONAL HIGH SCHOOL,78.85,71.99,59.25,79.96,72.9,78.81
194,BS COMMUNITY DEVELOPMENT,CSWCD,1,UNIVERSIDAD DE ZAMBOANGA SENIOR HIGH SCHOOL,74.8,71.99,80.93,24.91,33.69,70.3
195,BS COMMUNITY DEVELOPMENT,CSWCD,1,MANICAHAN NATIONAL HIGH SCHOOL,44.05,71.99,51.68,79.96,43.49,60.09
